Available Date,Area,Rooms,Rent Price
01.05.2023,205,4,3600
01.01.2023,55,2,1600
immediately,33,1,1017
01.01.2023,120,3,1800
01.01.2023,56,2,1250
immediately,100,1,750
01.01.2023,60,2,1650
30.12.2022,48,2,2380
immediately,90,3,1700
29.01.2023,17,1,790
01.02.2023,30,1,580
01.02.2023,21,1,740
immediately,58,2,1170
01.04.2023,25,1,920
15.12.2022,54,1,1900
immediately,85,3,1560
immediately,45,1.5,1200
15.12.2022,51,2,1250
02.01.2023,36,1,1280
15.01.2023,48,1,1565
immediately,110,4,1770
02.01.2023,20,1,1050
15.03.2023,15,1,1200
